0.090000 0.025200 0.000023 0.010000
0.083520 0.048334 0.000062 0.020000
0.080001 0.070251 0.000117 0.030000
0.079026 0.091675 0.000186 0.040000
0.080291 0.113240 0.000272 0.050000
0.083586 0.135511 0.000378 0.060000
0.088779 0.159014 0.000509 0.070000
0.095802 0.184248 0.000672 0.080000
0.104647 0.211706 0.000876 0.090000
0.115353 0.241887 0.001132 0.100000
0.128006 0.275308 0.001454 0.110000
0.142736 0.312519 0.001861 0.120000
0.159714 0.354111 0.002377 0.130000
0.179154 0.400729 0.003032 0.140000
0.201312 0.453082 0.003863 0.150000
0.226489 0.511960 0.004919 0.160000
0.255036 0.578237 0.006263 0.170000
0.287356 0.652897 0.007972 0.180000
0.323910 0.737037 0.010147 0.190000
0.365223 0.831892 0.012914 0.200000
0.411890 0.938849 0.016437 0.210000
0.464585 1.059468 0.020921 0.220000
0.524074 1.195504 0.026628 0.230000
0.591217 1.348932 0.033893 0.240000
0.666988 1.521973 0.043141 0.250000
0.752487 1.717125 0.054912 0.260000
0.848951 1.937194 0.069893 0.270000
0.957775 2.185330 0.088960 0.280000
1.080530 2.465064 0.113223 0.290000
1.218984 2.780348 0.144096 0.300000
1.375120 3.135597 0.183372 0.310000
1.551168 3.535724 0.233327 0.320000
1.749623 3.986179 0.296848 0.330000
1.973279 4.492977 0.377591 0.340000
2.225249 5.062715 0.480180 0.350000
2.508995 5.702559 0.610452 0.360000
2.828351 6.420206 0.775759 0.370000
3.187537 7.223786 0.985333 0.380000
3.591162 8.121689 1.250721 0.390000
4.044214 9.122271 1.586292 0.400000
4.552020 10.233405 2.009818 0.410000
5.120159 11.461809 2.543086 0.420000
5.754324 12.812064 3.212518 0.430000
6.460098 14.285239 4.049691 0.440000
7.242612 15.877015 5.091610 0.450000
8.106052 17.575211 6.380489 0.460000
9.052968 19.356667 7.962696 0.470000
10.083338 21.183529 9.886364 0.480000
11.193357 22.999218 12.197112 0.490000
12.373942 24.724667 14.931272 0.500000
13.609015 26.255945 18.106279 0.510000
14.873708 27.464949 21.708502 0.520000
16.132832 28.205296 25.679920 0.530000
17.340078 28.325546 29.906794 0.540000
