1.011723 1.763000 0.100000
1.023584 2.459817 0.200000
1.035584 3.097188 0.300000
1.047724 3.681179 0.400000
1.060007 4.217247 0.500000
1.072434 4.710309 0.600000
1.085007 5.164788 0.700000
1.097726 5.584670 0.800000
1.110595 5.973541 0.900000
1.123615 6.334630 1.000000
1.136788 6.670847 1.100000
1.150115 6.984810 1.200000
1.163598 7.278878 1.300000
1.177239 7.555175 1.400000
1.191040 7.815615 1.500000
1.205003 8.061921 1.600000
1.219130 8.295647 1.700000
1.233422 8.518191 1.800000
1.247882 8.730816 1.900000
1.262511 8.934656 2.000000
1.277312 9.130738 2.100000
1.292287 9.319985 2.200000
1.307437 9.503230 2.300000
1.322764 9.681225 2.400000
1.338271 9.854648 2.500000
1.353960 10.024111 2.600000
1.369833 10.190167 2.700000
1.385892 10.353317 2.799999
1.402140 10.514010 2.899999
1.418577 10.672656 2.999999
1.435208 10.829622 3.099999
1.452033 10.985245 3.199999
1.469056 11.139825 3.299999
1.486278 11.293637 3.399999
1.503702 11.446932 3.499999
1.521330 11.599934 3.599999
1.539165 11.752849 3.699999
1.557210 11.905864 3.799999
1.575465 12.059150 3.899998
1.593935 12.212861 3.999998
1.612621 12.367141 4.099998
1.631526 12.522119 4.199998
1.650653 12.677914 4.299998
1.670004 12.834636 4.399998
1.689582 12.992386 4.499998
1.709390 13.151257 4.599998
1.729430 13.311335 4.699998
1.749704 13.472699 4.799998
1.770217 13.635425 4.899998
1.790970 13.799580 4.999998
1.811966 13.965228 5.099998
1.833208 14.132432 5.199997
1.854699 14.301248 5.299997
1.876443 14.471728 5.399997
1.898441 14.643926 5.499997
1.920697 14.817887 5.599997
1.943214 14.993660 5.699997
1.965995 15.171288 5.799997
1.989043 15.350812 5.899997
2.012361 15.532274 5.999997
2.035952 15.715714 6.099997
2.059820 15.901170 6.199996
2.083968 16.088678 6.299996
2.108399 16.278275 6.399996
2.133117 16.469995 6.499996
2.158124 16.663876 6.599996
2.183425 16.859949 6.699996
2.209022 17.058250 6.799996
2.234919 17.258812 6.899996
2.261120 17.461666 6.999996
2.287627 17.666845 7.099996
2.314446 17.874384 7.199996
2.341579 18.084312 7.299995
2.369030 18.296663 7.399995
2.396803 18.511471 7.499995
2.424901 18.728765 7.599995
2.453329 18.948580 7.699995
2.482090 19.170944 7.799995
2.511189 19.395893 7.899995
2.540628 19.623459 7.999995
2.570413 19.853676 8.099995
2.600547 20.086575 8.199995
2.631034 20.322189 8.299995
2.661878 20.560553 8.399996
2.693084 20.801699 8.499996
2.724656 21.045660 8.599997
2.756598 21.292473 8.699997
2.788915 21.542170 8.799997
2.821610 21.794786 8.899998
2.854689 22.050358 8.999998
2.888155 22.308918 9.099998
2.922014 22.570503 9.199999
2.956270 22.835152 9.299999
2.990927 23.102898 9.400000
3.025990 23.373777 9.500000
3.061465 23.647829 9.600000
3.097356 23.925091 9.700001
3.133667 24.205599 9.800001
3.170404 24.489393 9.900002
3.207572 24.776512 10.000002
3.245175 25.066996 10.100002
3.283219 25.360882 10.200003
3.321710 25.658213 10.300003
3.360651 25.959026 10.400003
3.400049 26.263365 10.500004
3.439909 26.571270 10.600004
3.480236 26.882784 10.700005
3.521036 27.197948 10.800005
3.562314 27.516808 10.900005
3.604076 27.839403 11.000006
3.646328 28.165781 11.100006
3.689075 28.495985 11.200006
3.732323 28.830059 11.300007
3.776079 29.168049 11.400007
3.820347 29.510000 11.500008
3.865134 29.855959 11.600008
3.910446 30.205975 11.700008
3.956290 30.560093 11.800009
4.002670 30.918362 11.900009
4.049595 31.280830 12.000010
4.097070 31.647549 12.100010
4.145101 32.018566 12.200010
4.193696 32.393932 12.300011
4.242860 32.773697 12.400011
4.292600 33.157917 12.500011
4.342924 33.546638 12.600012
4.393837 33.939919 12.700012
4.445347 34.337807 12.800013
4.497462 34.740360 12.900013
4.550187 35.147633 13.000013
4.603530 35.559681 13.100014
4.657499 35.976559 13.200014
4.712101 36.398323 13.300014
4.767342 36.825035 13.400015
4.823231 37.256748 13.500015
4.879776 37.693523 13.600016
4.936983 38.135418 13.700016
4.994861 38.582493 13.800016
5.053417 39.034809 13.900017
5.112660 39.492428 14.000017
5.172597 39.955410 14.100018
5.233237 40.423820 14.200018
5.294588 40.897720 14.300018
5.356658 41.377178 14.400019
5.419456 41.862255 14.500019
5.482991 42.353020 14.600019
5.547270 42.849541 14.700020
5.612302 43.351879 14.800020
5.678097 43.860107 14.900021
5.744663 44.374294 15.000021
5.812010 44.894508 15.100021
5.880146 45.420822 15.200022
5.949081 45.953304 15.300022
6.018824 46.492031 15.400023
6.089385 47.037071 15.500023
6.160772 47.588501 15.600023
6.232997 48.146397 15.700024
6.306068 48.710835 15.800024
6.379996 49.281887 15.900024
6.454791 49.859634 16.000025
6.530463 50.444157 16.100025
6.607021 51.035530 16.200026
6.684478 51.633835 16.300026
6.762842 52.239155 16.400026
6.842125 52.851574 16.500027
6.922338 53.471172 16.600027
7.003491 54.098034 16.700027
7.085595 54.732243 16.800028
7.168662 55.373886 16.900028
7.252703 56.023052 17.000029
7.337729 56.679829 17.100029
7.423751 57.344307 17.200029
7.510782 58.016575 17.300030
7.598833 58.696720 17.400030
7.687917 59.384842 17.500031
7.778045 60.081028 17.600031
7.869229 60.785378 17.700031
7.961483 61.497986 17.800032
8.054818 62.218948 17.900032
8.149247 62.948360 18.000032
8.244783 63.686325 18.100033
8.341439 64.432938 18.200033
8.439229 65.188309 18.300034
8.538165 65.952530 18.400034
8.638261 66.725716 18.500034
8.739530 67.507965 18.600035
